model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp
logistic-regression_n_grams_remove_dots_lemmatize_lowercase_remove_stop_words_remove_duplicates,0.44689545847074186,0.8875379939209725,0.05064589953151401,0.36097560975609755,14.8,10.8,277.2,26.2,2024-05-13 19:32:52.294436

logistic-regression_n_grams_remove_dots_remove_duplicates_remove_stop_words_lemmatize_lowercase,0.4962465178060433,0.8963525835866261,0.05706576584139335,0.40975609756097564,16.8,9.9,278.1,24.2,2024-05-13 19:32:55.487910

logistic-regression_n_grams_remove_duplicates_remove_stop_words_lemmatize_remove_dots_lowercase,0.3861013487557342,0.8647416413373861,0.049865646350000827,0.3439024390243902,14.1,17.6,270.4,26.9,2024-05-13 19:32:55.364485

logistic-regression_n_grams_remove_dots_remove_stop_words_lemmatize_remove_duplicates_lowercase,0.47061532719578664,0.8835866261398178,0.05822082706754448,0.41219512195121955,16.9,14.2,273.8,24.1,2024-05-13 19:33:08.244486

logistic-regression_n_grams_remove_dots_remove_stop_words_lowercase_lemmatize_remove_duplicates,0.4570187839161159,0.8860182370820668,0.052778532828725674,0.373170731707317,15.3,11.8,276.2,25.7,2024-05-13 19:33:20.240531

logistic-regression_n_grams_lowercase_remove_dots_remove_stop_words_remove_duplicates_lemmatize,0.45775260349119035,0.8851063829787232,0.05430630499430313,0.3853658536585366,15.8,12.6,275.4,25.2,2024-05-13 19:33:21.013942

logistic-regression_n_grams_remove_duplicates_lowercase_remove_stop_words_remove_dots_lemmatize,0.4116124150165487,0.8805471124620061,0.04769683436539808,0.3365853658536585,13.8,12.1,275.9,27.2,2024-05-13 19:33:22.056935

logistic-regression_n_grams_remove_duplicates_remove_dots_remove_stop_words_lemmatize,0.4220098930101278,0.8683890577507599,0.05588530858900479,0.38780487804878044,15.9,18.2,269.8,25.1,2024-05-13 19:33:23.134903

logistic-regression_n_grams_remove_dots_remove_stop_words_lemmatize_lowercase_remove_duplicates,0.45156460608674165,0.8927051671732524,0.050008297671228774,0.3585365853658536,14.7,9.0,279.0,26.3,2024-05-13 19:33:29.329717

logistic-regression_n_grams_lowercase_remove_duplicates_lemmatize_remove_stop_words_remove_dots,0.4494830212910177,0.8869300911854102,0.05243386259796853,0.37317073170731707,15.3,11.5,276.5,25.7,2024-05-13 19:33:31.680665

logistic-regression_n_grams_lemmatize_lowercase_remove_duplicates_remove_stop_words_remove_dots,0.4625492059091803,0.8829787234042552,0.057611571621038485,0.40731707317073174,16.7,14.2,273.8,24.3,2024-05-13 19:33:35.042899

logistic-regression_n_grams_remove_duplicates_remove_dots_lemmatize_remove_stop_words,0.41053637235303436,0.8723404255319149,0.05118573369860811,0.35609756097560974,14.6,15.6,272.4,26.4,2024-05-13 19:33:43.313030

logistic-regression_n_grams_remove_stop_words_remove_duplicates_remove_dots_lemmatize_lowercase,0.434605584484851,0.8753799392097263,0.05399578773343561,0.3780487804878049,15.5,15.5,272.5,25.5,2024-05-13 19:33:44.062071

logistic-regression_n_grams_lowercase_lemmatize_remove_stop_words_remove_dots_remove_duplicates,0.4226161937480942,0.8656534954407296,0.0566440157906542,0.39268292682926825,16.1,19.3,268.7,24.9,2024-05-13 19:33:45.382920

logistic-regression_n_grams_lowercase_remove_stop_words_remove_dots_lemmatize_remove_duplicates,0.3981220299064899,0.8723404255319149,0.048241428946562255,0.3365853658536585,13.8,14.8,273.2,27.2,2024-05-13 19:34:05.239843

logistic-regression_n_grams_remove_duplicates_remove_dots_remove_stop_words_lemmatize_lowercase,0.40578119455016354,0.8693009118541035,0.05198227877112729,0.35853658536585364,14.7,16.7,271.3,26.3,2024-05-13 19:34:05.961649

logistic-regression_n_grams_remove_dots_remove_stop_words_remove_duplicates_lemmatize_lowercase,0.45384435302569104,0.8835866261398175,0.054781340124091235,0.38780487804878044,15.9,13.2,274.8,25.1,2024-05-13 19:34:06.442830

logistic-regression_n_grams_lemmatize_remove_stop_words_remove_duplicates_lowercase_remove_dots,0.4502158810100605,0.8884498480243161,0.05160314118434154,0.36829268292682926,15.1,10.8,277.2,25.9,2024-05-13 19:34:12.378673

logistic-regression_n_grams_lemmatize_remove_stop_words_remove_duplicates_remove_dots,0.39869816332808067,0.8735562310030394,0.04926999802796079,0.3414634146341463,14.0,14.6,273.4,27.0,2024-05-13 19:34:13.235819

logistic-regression_n_grams_remove_dots_lowercase_lemmatize_remove_duplicates_remove_stop_words,0.4396781683266343,0.8844984802431609,0.051329900204235376,0.3634146341463414,14.9,11.9,276.1,26.1,2024-05-13 19:34:14.875161

logistic-regression_n_grams_remove_duplicates_remove_stop_words_lemmatize_remove_dots,0.36339474036748537,0.860790273556231,0.0466958929919221,0.3219512195121951,13.2,18.0,270.0,27.8,2024-05-13 19:34:22.515466

logistic-regression_n_grams_remove_duplicates_lemmatize_remove_dots_remove_stop_words,0.4167558596644823,0.8772036474164133,0.04960537650375979,0.348780487804878,14.3,13.7,274.3,26.7,2024-05-13 19:34:23.831272

logistic-regression_n_grams_lemmatize_remove_stop_words_remove_dots_lowercase,0.44795416076568684,0.8851063829787232,0.05177381809343068,0.36585365853658536,15.0,11.8,276.2,26.0,2024-05-13 19:34:26.175999

logistic-regression_n_grams_lemmatize_lowercase_remove_duplicates_remove_dots_remove_stop_words,0.48330358393612605,0.892401215805471,0.056532227692812895,0.40487804878048783,16.6,11.0,277.0,24.4,2024-05-13 19:34:31.035787

logistic-regression_n_grams_remove_stop_words_remove_duplicates_lemmatize_remove_dots_lowercase,0.45348703982515665,0.8917933130699088,0.05044235682581283,0.3609756097560975,14.8,9.4,278.6,26.2,2024-05-13 19:34:38.544932

logistic-regression_n_grams_lowercase_remove_duplicates_lemmatize_remove_dots_remove_stop_words,0.37908256084441677,0.8723404255319149,0.04643697651899115,0.3219512195121951,13.2,14.2,273.8,27.8,2024-05-13 19:34:49.001364

logistic-regression_n_grams_remove_stop_words_remove_dots_remove_duplicates_lowercase_lemmatize,0.4804789088998954,0.8823708206686929,0.0604123005759503,0.426829268292683,17.5,15.2,272.8,23.5,2024-05-13 19:34:54.948481

logistic-regression_n_grams_lemmatize_lowercase_remove_dots_remove_duplicates_remove_stop_words,0.4314446682454469,0.8735562310030394,0.0546765127797883,0.38292682926829263,15.7,16.3,271.7,25.3,2024-05-13 19:35:00.514913

logistic-regression_n_grams_remove_stop_words_lemmatize_lowercase_remove_dots_remove_duplicates,0.4367096190814849,0.8747720364741642,0.05562360550159636,0.39024390243902435,16.0,16.2,271.8,25.0,2024-05-13 19:35:08.888569

logistic-regression_n_grams_lowercase_remove_stop_words_remove_duplicates_lemmatize_remove_dots,0.4488186437777659,0.8753799392097263,0.05766646607580973,0.40487804878048783,16.6,16.6,271.4,24.4,2024-05-13 19:35:10.564216

logistic-regression_n_grams_remove_stop_words_lemmatize_remove_dots_remove_duplicates_lowercase,0.4206971897559607,0.8826747720364742,0.04818585741751845,0.3414634146341463,14.0,11.6,276.4,27.0,2024-05-13 19:35:13.411004

logistic-regression_n_grams_lemmatize_remove_stop_words_remove_duplicates_lowercase,0.38801277106697923,0.868996960486322,0.04913408813549147,0.33902439024390235,13.9,16.0,272.0,27.1,2024-05-13 19:35:14.155133

logistic-regression_n_grams_remove_duplicates_lowercase_lemmatize_remove_stop_words,0.4735516891791024,0.8820668693009118,0.059884621496476685,0.42439024390243907,17.4,15.2,272.8,23.6,2024-05-13 19:35:15.142381

logistic-regression_n_grams_remove_stop_words_remove_duplicates_lemmatize_lowercase_remove_dots,0.3753295669046389,0.8762917933130699,0.04266605079324235,0.3000000000000001,12.3,12.0,276.0,28.7,2024-05-13 19:35:20.399632

logistic-regression_n_grams_lowercase_lemmatize_remove_dots_remove_stop_words,0.4289283162260597,0.8823708206686929,0.04991606857795355,0.35365853658536583,14.5,12.2,275.8,26.5,2024-05-13 19:35:21.057036

logistic-regression_n_grams_remove_duplicates_remove_stop_words_lowercase_lemmatize,0.4292483990818242,0.8720364741641337,0.05508182980600366,0.38536585365853654,15.8,16.9,271.1,25.2,2024-05-13 19:35:22.213023

logistic-regression_n_grams_lowercase_remove_dots_remove_stop_words_lemmatize_remove_duplicates,0.42575680591809634,0.8848024316109422,0.04812181162449362,0.3414634146341463,14.0,10.9,277.1,27.0,2024-05-13 19:35:24.296688

logistic-regression_n_grams_remove_stop_words_remove_dots_lowercase_remove_duplicates_lemmatize,0.41569441867001355,0.8790273556231003,0.04912079883303527,0.3463414634146341,14.2,13.0,275.0,26.8,2024-05-13 19:35:32.631530

logistic-regression_n_grams_lemmatize_remove_dots_remove_stop_words_lowercase,0.454618910320354,0.870516717325228,0.06234260318614722,0.43170731707317067,17.7,19.3,268.7,23.3,2024-05-13 19:35:32.869081

logistic-regression_n_grams_remove_stop_words_remove_duplicates_lowercase_remove_dots_lemmatize,0.43229761664801314,0.8717325227963526,0.05598084383240369,0.39024390243902435,16.0,17.2,270.8,25.0,2024-05-13 19:35:43.480469

logistic-regression_n_grams_remove_stop_words_lemmatize_remove_duplicates_lowercase_remove_dots,0.44625075136613335,0.8829787234042554,0.05461124366883067,0.38536585365853654,15.8,13.3,274.7,25.2,2024-05-13 19:35:46.239273

logistic-regression_n_grams_remove_stop_words_lowercase_remove_dots_remove_duplicates_lemmatize,0.436754711780211,0.8735562310030394,0.054641705064727805,0.3804878048780488,15.6,16.2,271.8,25.4,2024-05-13 19:35:48.183012

logistic-regression_n_grams_remove_duplicates_remove_stop_words_lowercase_remove_dots,0.5037030568258176,0.8854103343465045,0.06400752953183234,0.451219512195122,18.5,15.2,272.8,22.5,2024-05-13 19:35:50.666584

logistic-regression_n_grams_lowercase_remove_dots_lemmatize_remove_stop_words_remove_duplicates,0.43362561555603707,0.8832826747720365,0.05061749696762927,0.35853658536585364,14.7,12.1,275.9,26.3,2024-05-13 19:35:52.348828

logistic-regression_n_grams_remove_dots_lemmatize_remove_duplicates_lowercase_remove_stop_words,0.44753061404438155,0.8781155015197569,0.05611527565896636,0.3951219512195122,16.2,15.3,272.7,24.8,2024-05-13 19:36:12.959979

logistic-regression_n_grams_remove_dots_lowercase_remove_duplicates_remove_stop_words_lemmatize,0.4063106108776736,0.8835866261398175,0.04509682785668247,0.31951219512195117,13.1,10.4,277.6,27.9,2024-05-13 19:36:12.607602

logistic-regression_n_grams_remove_stop_words_lowercase_remove_duplicates_lemmatize_remove_dots,0.45045951409295676,0.8854103343465045,0.05418425889450741,0.3829268292682927,15.7,12.4,275.6,25.3,2024-05-13 19:36:21.059827

logistic-regression_n_grams_remove_dots_lowercase_lemmatize_remove_stop_words_remove_duplicates,0.4563831593243357,0.8872340425531913,0.05349141841487511,0.3804878048780488,15.6,11.7,276.3,25.4,2024-05-13 19:36:24.327025

logistic-regression_n_grams_remove_stop_words_remove_dots_lowercase_lemmatize_remove_duplicates,0.36750559556529716,0.8723404255319149,0.04261907393089911,0.29756097560975603,12.2,13.2,274.8,28.8,2024-05-13 19:36:33.916188

